,shortages,mismatches,FIFO,usability,substitution,today,total_antibodies,alloimm_risk_A,alloimm_risk_B,alloimm_risk_D,alloimm_risk_C,alloimm_risk_c,alloimm_risk_E,alloimm_risk_e,alloimm_risk_K,alloimm_risk_Fya,alloimm_risk_Fyb,alloimm_risk_Jka,alloimm_risk_Jkb,alloimm_risk_M,alloimm_risk_N,alloimm_risk_S,total_alloimm_risk,max_antibodies_pp,alloimm_patients,total_shortages,total_outdates,subst_SCD_A,subst_SCD_B,subst_SCD_D,antibodies_A,antibodies_B,antibodies_D,antibodies_C,antibodies_c,antibodies_E,antibodies_e,antibodies_K,antibodies_Fya,antibodies_Fyb,antibodies_Jka,antibodies_Jkb,antibodies_M,antibodies_N,antibodies_S
0,100.0,0.6344689378757515,0.0842685370741483,0.0805611222444889,0.3907815631262525,21.721643286573148,11,0.0,0.0,0.0,2.454771,11.046313,12.98352,3.926016,40.32344,13.86516,3.45312,15.485826,6.245284,18.506488,0.0,13.031276,141.32121399999997,2,10,66.0,0.0,17,29,41,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4
1,100.0,0.5158316633266533,0.1280561122244489,0.0432865731462925,0.3687374749498998,55.555511022044094,9,0.0,0.0,0.0,2.518968,10.740927,10.72124,3.895296,33.779143999999995,14.023968,3.3681120000000004,17.442339999999998,6.023538,18.713695,0.0,13.299156,134.526384,1,9,1.0,0.0,13,32,39,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1
2,100.0,0.8012024048096194,0.4193386773547093,0.0120240480961923,0.9819639278557114,82.78276553106213,13,0.0,0.0,0.0,2.222439,9.191207,1.298352,3.950592,15.765804,12.318309,3.4990560000000004,12.078732,6.10644,18.96895,0.0,13.503324,98.903205,2,12,164.0,0.0,20,28,40,0,0,0,0,0,0,0,0,1,1,0,0,10,1,0
3,100.0,0.7819639278557113,0.1261523046092184,0.0348697394789579,0.2444889779559118,0.9008016032064128,10,0.0,0.0,0.0,1.896359,10.513027,3.009816,3.73248,16.526,12.663411,3.1194240000000004,14.335976,5.471532,18.62861,0.0,12.885752,102.782387,2,9,87.0,0.0,18,28,38,0,0,0,0,0,0,0,0,0,0,1,0,8,1,0
4,100.0,0.595991983967936,0.388877755511022,0.0753507014028056,0.5370741482965932,64.56452905811622,14,0.0,0.0,0.0,2.420125,11.114683,13.790072,3.830784,51.032288,14.193465,3.624192,16.373864,6.52769,18.367349,0.0,13.13698,154.41149199999998,1,14,54.0,0.0,13,32,39,0,0,0,0,0,0,0,0,0,0,0,1,10,1,2
5,100.0,0.8380761523046092,0.0937875751503005,0.1795591182364729,0.2745490981963928,18.9188376753507,12,0.0,0.0,0.0,2.484322,10.911852,16.52448,4.552704,58.6673,12.90315,3.4710720000000004,16.395091999999998,6.033648,18.480462,0.0,12.80394,163.228022,2,11,159.0,0.0,13,33,36,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0
6,100.0,0.7482965931863728,0.7791583166332665,0.1166332665330661,0.5751503006012024,40.54048096192385,12,0.0,0.0,0.0,2.682008,11.333467,12.649095999999998,3.956736,50.205988,14.730969,3.597792,18.532044,6.514884,18.584566,0.0,13.24196,156.02951,2,11,81.0,0.0,19,26,37,0,0,0,0,0,0,0,0,0,0,0,0,9,1,2
7,100.0,0.8396793587174349,0.5640280561122245,0.0304609218436873,0.6132264529058116,62.5625250501002,11,0.0,0.0,0.0,2.4456,9.997973000000002,1.593432,4.030464,17.616716,13.048215,3.755136,16.653366,6.175862,18.817799,0.0,13.488844,107.623407,1,11,1.0,0.0,11,24,37,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0
8,100.0,0.9935871743486976,0.1642284569138276,0.0789579158316633,0.2605210420841683,4.104008016032063,16,0.0,0.0,0.0,2.143976,11.543135,11.547464,4.217856,43.265068,13.275738,3.494304,16.41632,6.032974,18.615597,0.0,13.210104,143.76253599999998,2,12,20.0,0.0,23,37,42,0,0,0,0,0,0,0,0,1,0,1,1,9,2,2
9,100.0,0.6328657314629258,0.7182364729458919,0.16312625250501,0.4709418837675351,68.7687374749499,10,0.0,0.0,0.0,2.910264,11.162542,18.235944,3.996672,56.948596,15.07149,3.759360000000001,18.687716,6.62879,18.374356,0.0,13.159424,168.935154,2,9,59.0,0.0,18,31,38,0,0,0,0,0,0,0,0,1,0,0,0,8,0,1
10,100.0,0.6152304609218437,0.1889779559118236,0.0589178356713426,0.0741482965931863,61.96192384769539,16,0.0,0.0,0.0,2.204097,11.704944,10.268783999999998,4.073472,48.718648,14.022441,3.502752,17.251288,6.417828,18.591573,0.0,12.823488,149.579315,2,14,89.0,0.0,20,28,39,0,0,0,0,0,0,0,0,2,0,0,0,10,1,3
11,100.0,0.9006012024048096,0.2936873747494989,0.0312625250501002,0.5771543086172345,92.79278557114228,16,0.0,0.0,0.0,2.297845,9.569521000000002,2.439328,4.171776,16.955676,12.623709,3.671184,15.418604,6.050498,18.705687,0.0,13.261508,105.165336,2,14,122.0,0.0,16,25,37,0,0,0,0,0,0,0,0,1,1,0,2,10,0,2
12,100.0,0.7627254509018038,0.558316633266533,0.1350701402805611,0.6092184368737475,44.1440881763527,11,0.0,0.0,0.0,2.587241,11.137473000000002,13.554008,3.96288,48.024556,14.657673,3.5935680000000003,17.07085,6.49399,18.496478,0.0,13.163768,152.74248500000002,1,11,29.0,0.0,26,22,39,0,0,0,0,0,0,0,0,1,1,1,0,7,1,0
13,100.0,0.88937875751503,0.4669338677354709,0.1779559118236473,0.8416833667334669,15.315230460921844,8,0.0,0.0,0.0,2.763528,11.1671,19.632656,4.245504,55.329048,13.938456,3.626304,18.532044,6.300552,18.607589,0.0,13.0863,167.229081,2,7,50.0,0.0,14,35,39,0,0,0,0,0,0,0,0,0,1,0,0,4,1,2
14,100.0,0.8909819639278558,0.8990981963927855,0.119438877755511,0.6052104208416834,93.5935871743487,11,0.0,0.0,0.0,2.483303,11.515787,12.019592,3.956736,45.545656,14.682105,3.5861760000000005,17.449416,6.405696,18.550532,0.0,13.4121,149.607099,2,10,0.0,0.0,14,26,37,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3
15,100.0,0.5687374749498999,0.8914829659318637,0.1655310621242485,0.4408817635270541,45.54549098196393,10,0.0,0.0,0.0,2.764547,11.800662,15.422847999999998,4.134912,56.02314,14.836332,3.789984000000001,18.758476,6.4885980000000005,18.634616,0.0,13.171008,165.825123,1,10,37.0,0.0,9,25,38,0,0,0,0,0,0,0,0,0,0,0,0,6,1,3
16,100.0,0.3090180360721443,0.2251503006012024,0.0509018036072144,0.7034068136272545,53.753707414829655,18,0.0,0.0,0.0,2.62902,10.797902,14.222855999999998,4.276224,47.165204,13.857525,3.5972640000000005,18.047338,6.2055180000000005,18.355337,0.0,13.47364,152.62782799999997,2,16,43.0,0.0,20,26,40,0,0,0,0,0,0,0,0,1,2,0,0,10,1,4
17,100.0,0.7082164328657314,0.3565130260521041,0.0128256513026052,0.5731462925851704,98.59859719438876,13,0.0,0.0,0.0,2.360004,9.437339,2.242608,3.889152,26.805172,12.721437,3.511728,14.714542,6.019494,18.647629,0.0,13.535904,113.88500899999998,2,11,69.0,0.0,23,35,37,0,0,0,0,0,0,0,0,1,1,0,1,7,0,3
18,100.0,0.2464929859719439,0.5830661322645291,0.0468937875751503,0.0460921843687374,89.58957915831662,13,0.0,0.0,0.0,2.678951,12.611986000000002,16.445791999999997,4.463616,66.632832,14.85771,3.6828,18.754938,6.4596160000000005,18.70869,0.0,13.435992,178.732923,1,13,8.0,0.0,27,28,40,0,0,0,0,0,0,0,0,0,0,0,0,9,3,1
19,100.0,0.3715430861723447,0.4612224448897795,0.008817635270541,0.342685370741483,81.3813627254509,7,0.0,0.0,0.0,2.610678,10.198525,1.160648,4.098048,29.184916,14.023968,3.621024,16.94702,6.41648,18.463445,0.0,13.35418,120.078932,1,7,3.0,0.0,20,30,40,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1
20,100.0,0.770741482965932,0.9466933867735472,0.038877755511022,0.3366733466933868,5.505410821643286,17,0.0,0.0,0.0,2.378346,11.116962,3.875384,3.790848,27.003484,14.275923,3.710256,16.426934,6.330882,18.630612,0.0,13.866048,121.405679,2,15,28.0,0.0,12,28,39,0,0,0,0,0,0,0,0,1,1,0,0,8,4,3
21,100.0,0.6537074148296593,0.5849699398797595,0.1611222444889779,0.4148296593186373,33.33326653306613,14,0.0,0.0,0.0,2.852181,11.233191,19.672,3.935232,61.675032,14.173614,3.858624,19.108738,6.62205,18.606588,0.0,13.07906,174.81631,2,12,3.0,0.0,13,34,39,0,0,0,0,0,0,0,0,0,0,1,0,10,0,3
22,100.0,0.3410821643286573,0.8077154308617235,0.1591182364729459,0.7294589178356713,95.79579158316632,18,0.0,0.0,0.0,2.989746,11.900938000000002,21.580184,3.895296,63.063216,15.111192,3.674352,19.154732,6.58498,18.505487,0.0,13.302052,179.76217499999998,2,16,61.0,0.0,14,31,41,0,0,0,0,0,0,0,0,2,0,0,0,11,0,5
