,shortages,mismatches,youngblood,FIFO,usability,substitution,today,antibodies A,antibodies B,antibodies D,antibodies C,antibodies c,antibodies E,antibodies e,antibodies K,antibodies Fya,antibodies Fyb,antibodies Jka,antibodies Jkb,antibodies M,antibodies N,antibodies S,total_antibodies,max_antibodies_pp,alloimm_patients,total_shortages,total_outdates,total_alloimm_risk,issuing_age_SCD
0,10.0,0.641,0.539,0.273,0.821,0.905,0.017,0,0,0,0,0,0,0,0,1,0,0,1,5,1,1,9,1,9,3916.0,0.0,150.643171,0.8817427385892116
1,10.0,0.595,0.763,0.141,0.453,0.241,0.421,0,0,0,0,0,0,0,0,1,0,1,0,6,0,8,16,2,14,3.0,0.0,174.11578399999996,0.8999082662317807
2,10.0,0.515,0.377,0.207,0.783,0.151,0.853,0,0,0,0,0,0,0,0,0,2,1,0,10,2,0,15,1,15,95.0,0.0,182.02306899999996,0.9144600846540014
3,10.0,0.173,0.601,0.485,0.461,0.723,0.443,0,0,0,0,0,0,0,0,3,0,1,1,7,4,3,19,2,17,47.0,0.0,190.84431400000003,0.9134277392788993
4,10.0,0.457,0.223,0.989,0.387,0.683,0.003,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,1,4,5975.0,0.0,139.63976899999997,0.8545592705167173
5,10.0,0.707,0.577,0.713,0.799,0.941,0.163,0,0,0,0,0,0,0,0,2,0,2,0,9,1,0,14,2,13,142.0,0.0,175.292557,0.8845318158303156
6,10.0,0.323,0.059,0.329,0.937,0.733,0.871,0,0,0,0,0,0,0,0,2,0,0,0,4,1,6,13,2,11,78.0,0.0,199.10967300000002,0.9382953694792001
7,10.0,0.687,0.497,0.565,0.109,0.153,0.683,0,0,0,0,0,0,0,0,0,2,0,0,13,1,1,17,2,15,17.0,0.0,143.411292,0.8496628739991572
8,10.0,0.831,0.747,0.283,0.181,0.391,0.533,0,0,0,0,0,0,0,0,0,0,1,0,9,0,3,13,3,10,24.0,0.0,155.485969,0.8881335599320204
9,10.0,0.067,0.051,0.765,0.491,0.747,0.715,0,0,0,0,0,0,0,0,2,0,1,0,5,1,4,13,1,13,55.0,0.0,211.813108,0.952934047065953
