,shortages,mismatches,youngblood,FIFO,usability,substitution,today,total_antibodies,max_antibodies_pp,alloimm_patients,antibodies A,antibodies B,antibodies D,antibodies C,antibodies c,antibodies E,antibodies e,antibodies K,antibodies Fya,antibodies Fyb,antibodies Jka,antibodies Jkb,antibodies M,antibodies N,antibodies S,total_shortages,total_outdates,total_alloimm_risk,issuing_age_SCD
0,10.0,0.0,0.49,0.56,0.76,0.67,0.56,20,2,18,0,0,0,0,0,0,0,0,5,1,2,2,7,2,1,51.0,0.0,225.697552,0.9645228421365574
1,10.0,0.01,0.59,0.33,0.05,0.28,0.51,9,1,9,0,0,0,0,0,0,0,0,2,0,0,0,6,0,1,1.0,0.0,193.72344500000003,0.8878818737270876
2,10.0,0.02,0.45,0.65,0.13,0.83,0.59,14,2,13,0,0,0,0,0,0,0,0,2,0,0,0,11,1,0,90.0,0.0,195.206668,0.9195198740653286
3,10.0,0.03,0.42,0.47,0.63,0.05,0.4,8,1,8,0,0,0,0,0,0,0,0,0,0,1,0,6,0,1,39.0,0.0,214.058917,0.937681595030558
4,10.0,0.04,0.57,0.91,0.39,0.43,0.25,9,1,9,0,0,0,0,0,0,0,0,0,1,0,0,6,2,0,44.0,0.0,209.886194,0.9155422803584304
5,10.0,0.05,0.54,0.01,0.56,0.48,0.52,11,1,11,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,160.0,0.0,202.308712,0.943425713690352
6,10.0,0.06,0.25,0.42,0.65,0.62,0.03,13,1,13,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,1483.0,0.0,192.949969,0.9055109448905512
7,10.0,0.07,0.95,0.36,0.55,0.21,0.68,22,2,20,0,0,0,0,0,0,0,0,6,1,3,2,10,0,0,17.0,0.0,204.174173,0.8990166014592366
8,10.0,0.08,0.83,0.34,0.46,0.46,0.07,22,3,17,0,0,0,0,0,0,0,0,2,4,2,1,9,2,2,22.0,0.0,195.603845,0.9007
9,10.0,0.09,0.75,0.3,0.26,0.64,0.96,11,2,9,0,0,0,0,0,0,0,0,1,0,1,0,7,1,1,52.0,0.0,203.819344,0.9457685316097758
10,10.0,0.1,0.02,0.59,0.25,0.32,0.36,14,2,13,0,0,0,0,0,0,0,0,0,2,2,0,9,0,1,84.0,0.0,192.20519,0.8868283881315157
11,10.0,0.11,0.03,0.31,0.32,0.73,0.75,11,1,11,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,71.0,0.0,194.028456,0.9148351648351648
12,10.0,0.12,0.26,0.17,0.11,0.68,0.22,11,1,11,0,0,0,0,0,0,0,0,1,1,0,1,8,0,0,5.0,0.0,167.83561799999998,0.8504929362740116
13,10.0,0.13,0.71,0.83,0.85,0.22,0.83,8,1,8,0,0,0,0,0,0,0,0,0,0,1,0,5,2,0,48.0,0.0,215.359995,0.9274621986105436
14,10.0,0.14,0.68,0.86,0.18,0.29,0.81,8,1,8,0,0,0,0,0,0,0,0,1,1,1,0,4,1,0,0.0,0.0,185.644986,0.8830975428145942
15,10.0,0.15,0.98,0.78,0.51,0.69,0.7,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,37.0,0.0,197.715343,0.9252016129032258
16,10.0,0.16,0.09,0.89,0.79,0.39,0.39,12,2,11,0,0,0,0,0,0,0,0,0,0,3,0,8,1,0,48.0,0.0,196.998839,0.9085047589806572
