,shortages,mismatches,youngblood,FIFO,usability,substitution,today,antibodies_A,antibodies_B,antibodies_D,antibodies_C,antibodies_c,antibodies_E,antibodies_e,antibodies_K,antibodies_Fya,antibodies_Fyb,antibodies_Jka,antibodies_Jkb,antibodies_M,antibodies_N,antibodies_S,total_antibodies,max_antibodies_pp,alloimm_patients,total_shortages,total_outdates,total_alloimm_risk,issuing_age_SCD,subst_SCD_A,subst_SCD_B,subst_SCD_D,alloimm_risk_A,alloimm_risk_B,alloimm_risk_D,alloimm_risk_C,alloimm_risk_c,alloimm_risk_E,alloimm_risk_e,alloimm_risk_K,alloimm_risk_Fya,alloimm_risk_Fyb,alloimm_risk_Jka,alloimm_risk_Jkb,alloimm_risk_M,alloimm_risk_N,alloimm_risk_S
0,100.0,0.64128,0.539076,0.272544,0.82164,0.905808,2.4048000000000003,0,0,0,0,0,0,0,0,1,1,1,0,4,1,4,12,1,12,61.0,0.0,185.711708,0.9362847741549506,17,29,41,0.0,0.0,0.0,2.707483,12.008051000000002,26.16376,4.015104,68.615952,13.994955,3.534432,16.883336,6.216302,18.555537,0.0,13.016796
1,100.0,0.5951879999999999,0.763524,0.14028,0.452904,0.24048,63.126,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,8,1,8,1.0,0.0,185.957154,0.9268764639983704,13,32,39,0.0,0.0,0.0,2.575013,11.723176,23.6064,3.999744,70.56602,13.903335,3.3654720000000005,18.648798,6.070718,18.636618,0.0,12.86186
2,100.0,0.515028,0.376752,0.2064119999999999,0.783564,0.1503,128.0556,0,0,0,0,0,0,0,0,1,1,0,1,10,0,2,15,2,13,99.0,0.0,187.587604,0.9284237471694398,20,28,40,0.0,0.0,0.0,2.542405,11.973866,20.714616,4.257792,75.391612,13.494099,3.625776,17.38927,6.248654,19.02901,0.0,12.920504
3,100.0,0.172344,0.6012,0.4849679999999999,0.46092,0.723444,66.4326,0,0,0,0,0,0,0,0,2,0,1,1,6,1,2,13,2,11,58.0,0.0,205.60927,0.949107598164202,18,28,38,0.0,0.0,0.0,3.073304,12.110606,32.203064,4.134912,78.06882399999999,14.275923,3.618912,20.50271,6.369974,18.519501,0.0,12.73154
4,100.0,0.456912,0.222444,0.989976,0.386772,0.6833640000000001,0.3006,0,0,0,0,0,0,0,0,2,0,0,0,6,1,5,14,2,13,43.0,0.0,180.16364,0.8738404452690167,13,32,39,0.0,0.0,0.0,2.377327,11.659364000000002,20.596584,3.735552,70.665176,13.872795,3.4652640000000003,16.405706,6.192712,18.37836,0.0,12.8148
5,100.0,0.7074119999999999,0.5771519999999999,0.713424,0.799596,0.94188,24.348600000000005,0,0,0,0,0,0,0,0,2,2,2,0,9,1,1,17,2,16,139.0,0.0,187.493419,0.918183765260227,13,33,37,0.0,0.0,0.0,2.795117,11.290166,24.806392,4.512768,71.06179999999999,13.411641,3.733488,18.241928,6.455572,18.441423,0.0,12.743124
6,100.0,0.322644,0.058116,0.328656,0.937872,0.7334639999999999,130.761,0,0,0,0,0,0,0,0,1,1,0,1,6,0,3,12,2,11,76.0,0.0,202.653406,0.9478130681210566,19,26,37,0.0,0.0,0.0,2.919435,12.119722,26.26212,4.02432,81.704544,14.245383,3.55872,19.9897,6.332904,18.616598,0.0,12.87996
7,100.0,0.6873720000000001,0.496992,0.565128,0.1082159999999999,0.152304,102.5046,0,0,0,0,0,0,0,0,0,1,0,0,11,1,6,19,2,17,8.0,0.0,159.190272,0.8805446229124562,11,24,37,0.0,0.0,0.0,2.594374,11.748245,12.235983999999998,4.217856,52.618784,14.097264,3.768336,19.642976,6.306618,18.749731,0.0,13.210104
8,100.0,0.83166,0.7474919999999999,0.282564,0.18036,0.39078,79.95960000000001,0,0,0,0,0,0,0,0,1,1,1,0,9,0,2,14,2,12,24.0,0.0,175.82366699999997,0.9044573256046372,23,37,42,0.0,0.0,0.0,2.429296,11.793825000000002,20.183472,4.260864,63.55899599999999,13.81935,3.612576,17.958887999999998,6.306618,18.60859,0.0,13.291192
9,100.0,0.066132,0.0501,0.765528,0.49098,0.7474919999999999,107.3142,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,10,1,10,55.0,0.0,226.411292,0.9617210382789616,18,31,38,0.0,0.0,0.0,3.256724,12.308879,38.045648,4.190208,91.7193,14.923371,3.728208,20.895428,6.458268,18.440422,0.0,12.444836
