,logged,day,location,model name,supply scenario,avg daily demand,inventory size,test days,init days,gurobi status,nvars,calc time,ncons,num patients,num SCD patients,num Other patients,num units requested,num units requested SCD,num units requested Other,num supplied products,num O- in inventory,num O+ in inventory,num A- in inventory,num A+ in inventory,num B- in inventory,num B+ in inventory,num AB- in inventory,num AB+ in inventory,num Fya-Fyb- in inventory,num Fya+Fyb- in inventory,num Fya-Fyb+ in inventory,num Fya+Fyb+ in inventory,num R0 in inventory,avg issuing age,num outdates,num outdates O-,num outdates O+,num outdates A-,num outdates A+,num outdates B-,num outdates B+,num outdates AB-,num outdates AB+,num shortages,num shortages O-,num shortages O+,num shortages A-,num shortages A+,num shortages B-,num shortages B+,num shortages AB-,num shortages AB+,num shortages SCD,num shortages Other,num mismatched patients SCD A,num mismatched patients SCD B,num mismatched patients SCD D,num mismatched patients SCD C,num mismatched patients SCD c,num mismatched patients SCD E,num mismatched patients SCD e,num mismatched patients SCD K,num mismatched patients SCD k,num mismatched patients SCD Fya,num mismatched patients SCD Fyb,num mismatched patients SCD Jka,num mismatched patients SCD Jkb,num mismatched patients SCD M,num mismatched patients SCD N,num mismatched patients SCD S,num mismatched patients SCD s,num mismatched patients Other A,num mismatched patients Other B,num mismatched patients Other D,num mismatched patients Other C,num mismatched patients Other c,num mismatched patients Other E,num mismatched patients Other e,num mismatched patients Other K,num mismatched patients Other k,num mismatched patients Other Fya,num mismatched patients Other Fyb,num mismatched patients Other Jka,num mismatched patients Other Jkb,num mismatched patients Other M,num mismatched patients Other N,num mismatched patients Other S,num mismatched patients Other s,num mismatched units SCD A,num mismatched units SCD B,num mismatched units SCD D,num mismatched units SCD C,num mismatched units SCD c,num mismatched units SCD E,num mismatched units SCD e,num mismatched units SCD K,num mismatched units SCD k,num mismatched units SCD Fya,num mismatched units SCD Fyb,num mismatched units SCD Jka,num mismatched units SCD Jkb,num mismatched units SCD M,num mismatched units SCD N,num mismatched units SCD S,num mismatched units SCD s,num mismatched units Other A,num mismatched units Other B,num mismatched units Other D,num mismatched units Other C,num mismatched units Other c,num mismatched units Other E,num mismatched units Other e,num mismatched units Other K,num mismatched units Other k,num mismatched units Other Fya,num mismatched units Other Fyb,num mismatched units Other Jka,num mismatched units Other Jkb,num mismatched units Other M,num mismatched units Other N,num mismatched units Other S,num mismatched units Other s
0,1.0,0.0,London_14,3years_LHD,1Lon_14,151,453,1092.0,70.0,2.0,128652.0,0.9461372923105955,737.0,26.0,0.0,26.0,44.0,0.0,44.0,453.0,51.0,176.0,32.0,132.0,13.0,35.0,3.0,11.0,15.0,76.0,129.0,233.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,4.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,1.0,6.0,7.0,4.0,2.0
1,1.0,1.0,London_14,3years_LHD,1Lon_14,151,453,1092.0,70.0,2.0,169422.0,2.2677771961316466,827.0,130.0,1.0,129.0,224.0,10.0,214.0,39.0,53.0,176.0,35.0,128.0,14.0,35.0,3.0,9.0,16.0,76.0,128.0,233.0,64.0,0.9202453987730062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,2.0,7.0,0.0,16.0,2.0,7.0,1.0,1.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,8.0,0.0,7.0,10.0,2.0,12.0,20.0,22.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,9.0,0.0,9.0,14.0,2.0,14.0,29.0,28.0,14.0,7.0
2,1.0,2.0,London_14,3years_LHD,1Lon_14,151,453,1092.0,70.0,2.0,146319.0,2.271631484851241,776.0,47.0,1.0,46.0,93.0,8.0,85.0,163.0,51.0,170.0,37.0,135.0,14.0,35.0,0.0,11.0,13.0,68.0,145.0,227.0,62.0,1.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,6.0,1.0,2.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,3.0,5.0,9.0,8.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,3.0,5.0,13.0,15.0,13.0,4.0
3,1.0,3.0,London_14,3years_LHD,1Lon_14,151,453,1092.0,70.0,2.0,177576.0,1.7913330402225256,845.0,40.0,1.0,39.0,75.0,9.0,66.0,64.0,50.0,172.0,36.0,140.0,15.0,29.0,1.0,10.0,14.0,67.0,146.0,226.0,61.0,2.0701754385964914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,4.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,8.0,8.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,11.0,13.0,5.0,4.0
4,1.0,4.0,London_14,3years_LHD,1Lon_14,151,453,1092.0,70.0,2.0,208380.0,2.374450254254043,913.0,54.0,0.0,54.0,92.0,0.0,92.0,57.0,46.0,160.0,38.0,149.0,17.0,31.0,1.0,11.0,12.0,68.0,147.0,226.0,61.0,2.723404255319149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,14.0,0.0,9.0,0.0,2.0,0.0,2.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,12.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,14.0,9.0,4.0,0.0
5,1.0,5.0,London_14,3years_LHD,1Lon_14,151,453,1092.0,70.0,2.0,223329.0,2.9043301651254296,946.0,185.0,2.0,183.0,319.0,17.0,302.0,47.0,47.0,145.0,41.0,155.0,18.0,34.0,1.0,12.0,12.0,74.0,148.0,219.0,56.0,3.1314285714285712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,6.0,30.0,5.0,37.0,2.0,5.0,0.0,1.0,1.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,4.0,0.0,2.0,0.0,1.0,3.0,19.0,30.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,4.0,0.0,2.0,0.0,1.0,3.0,26.0,38.0,11.0,7.0
6,1.0,6.0,London_14,3years_LHD,1Lon_14,151,453,1092.0,70.0,2.0,173499.0,1.0911462511867285,836.0,119.0,2.0,117.0,212.0,16.0,196.0,175.0,47.0,155.0,34.0,142.0,16.0,47.0,2.0,10.0,15.0,69.0,138.0,231.0,73.0,2.5267175572519083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,17.0,4.0,16.0,2.0,2.0,3.0,1.0,2.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,3.0,15.0,16.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,3.0,20.0,19.0,9.0,9.0
7,1.0,7.0,London_14,3years_LHD,1Lon_14,151,453,1092.0,70.0,2.0,159909.0,2.6286893812939525,806.0,148.0,0.0,148.0,259.0,0.0,259.0,131.0,55.0,157.0,35.0,134.0,16.0,44.0,4.0,8.0,14.0,72.0,135.0,232.0,68.0,2.5388888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,12.0,5.0,30.0,0.0,2.0,0.0,5.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,5.0,7.0,5.0,4.0,24.0,15.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,6.0,11.0,6.0,5.0,34.0,20.0,12.0,12.0
8,1.0,8.0,London_14,3years_LHD,1Lon_14,151,453,1092.0,70.0,2.0,125028.0,1.759030337445438,729.0,47.0,0.0,47.0,85.0,0.0,85.0,180.0,53.0,159.0,36.0,145.0,11.0,38.0,3.0,8.0,13.0,68.0,143.0,229.0,66.0,2.1538461538461537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,2.0,1.0,9.0,11.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,2.0,2.0,1.0,17.0,16.0,3.0,6.0
9,1.0,9.0,London_14,3years_LHD,1Lon_14,151,453,1092.0,70.0,2.0,132276.0,2.802156020887196,745.0,60.0,2.0,58.0,118.0,19.0,99.0,78.0,58.0,160.0,40.0,133.0,12.0,42.0,2.0,6.0,15.0,72.0,146.0,220.0,65.0,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,2.0,3.0,2.0,11.0,13.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,2.0,3.0,2.0,15.0,17.0,7.0,4.0
