,logged,day,location,model name,avg daily demand,inventory size,test days,init days,gurobi status,nvars,calc time,ncons,num patients,num SCD patients,num Other patients,num units requested,num units requested SCD,num units requested Other,num supplied products,num O- in inventory,num O+ in inventory,num A- in inventory,num A+ in inventory,num B- in inventory,num B+ in inventory,num AB- in inventory,num AB+ in inventory,num Fya-Fyb- in inventory,num Fya+Fyb- in inventory,num Fya-Fyb+ in inventory,num Fya+Fyb+ in inventory,num R0 in inventory,num outdates,num outdates O-,num outdates O+,num outdates A-,num outdates A+,num outdates B-,num outdates B+,num outdates AB-,num outdates AB+,num shortages,num shortages O-,num shortages O+,num shortages A-,num shortages A+,num shortages B-,num shortages B+,num shortages AB-,num shortages AB+,num shortages SCD,num shortages Other,num mismatched patients SCD A,num mismatched patients SCD B,num mismatched patients SCD D,num mismatched patients SCD C,num mismatched patients SCD c,num mismatched patients SCD E,num mismatched patients SCD e,num mismatched patients SCD K,num mismatched patients SCD Fya,num mismatched patients SCD Fyb,num mismatched patients SCD Jka,num mismatched patients SCD Jkb,num mismatched patients SCD M,num mismatched patients SCD N,num mismatched patients SCD S,num mismatched patients Other A,num mismatched patients Other B,num mismatched patients Other D,num mismatched patients Other C,num mismatched patients Other c,num mismatched patients Other E,num mismatched patients Other e,num mismatched patients Other K,num mismatched patients Other Fya,num mismatched patients Other Fyb,num mismatched patients Other Jka,num mismatched patients Other Jkb,num mismatched patients Other M,num mismatched patients Other N,num mismatched patients Other S,num mismatched units SCD A,num mismatched units SCD B,num mismatched units SCD D,num mismatched units SCD C,num mismatched units SCD c,num mismatched units SCD E,num mismatched units SCD e,num mismatched units SCD K,num mismatched units SCD Fya,num mismatched units SCD Fyb,num mismatched units SCD Jka,num mismatched units SCD Jkb,num mismatched units SCD M,num mismatched units SCD N,num mismatched units SCD S,num mismatched units Other A,num mismatched units Other B,num mismatched units Other D,num mismatched units Other C,num mismatched units Other c,num mismatched units Other E,num mismatched units Other e,num mismatched units Other K,num mismatched units Other Fya,num mismatched units Other Fyb,num mismatched units Other Jka,num mismatched units Other Jkb,num mismatched units Other M,num mismatched units Other N,num mismatched units Other S
0,1.0,0.0,London_16,baseline0,151,453,1092.0,70.0,2.0,153567.0,0.5622171964496374,792.0,83.0,1.0,82.0,146.0,9.0,137.0,453.0,63.0,170.0,32.0,122.0,6.0,42.0,6.0,12.0,11.0,67.0,168.0,207.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,7.0,29.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,10.0,14.0,1.0,5.0,18.0,4.0,13.0,8.0,10.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,12.0,17.0,17.0,2.0,5.0,24.0,6.0,20.0,11.0,12.0,14.0,27.0
1,1.0,1.0,London_16,baseline0,151,453,1092.0,70.0,2.0,154473.0,0.49066405557096004,794.0,55.0,2.0,53.0,106.0,17.0,89.0,88.0,62.0,183.0,35.0,109.0,7.0,44.0,5.0,8.0,11.0,70.0,168.0,204.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,13.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,10.0,11.0,1.0,9.0,5.0,5.0,9.0,9.0,4.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,6.0,4.0,0.0,0.0,0.0,6.0,13.0,12.0,1.0,11.0,7.0,10.0,12.0,11.0,8.0,4.0,16.0
2,1.0,2.0,London_16,baseline0,151,453,1092.0,70.0,2.0,163080.0,0.49239945504814386,813.0,11.0,0.0,11.0,19.0,0.0,19.0,77.0,68.0,155.0,39.0,132.0,7.0,40.0,5.0,7.0,12.0,80.0,155.0,206.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0
3,1.0,3.0,London_16,baseline0,151,453,1092.0,70.0,2.0,192978.0,0.6955845952033997,879.0,212.0,2.0,210.0,388.0,18.0,370.0,9.0,67.0,155.0,38.0,132.0,6.0,43.0,5.0,7.0,13.0,83.0,153.0,204.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,1.0,62.0,2.0,53.0,0.0,2.0,0.0,0.0,2.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,13.0,20.0,30.0,1.0,15.0,35.0,20.0,22.0,28.0,27.0,27.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,20.0,32.0,40.0,1.0,17.0,52.0,36.0,42.0,40.0,39.0,42.0,45.0
4,1.0,4.0,London_16,baseline0,151,453,1092.0,70.0,2.0,124122.0,0.5954885892570019,727.0,31.0,0.0,31.0,57.0,0.0,57.0,209.0,54.0,177.0,36.0,124.0,4.0,51.0,3.0,4.0,17.0,71.0,157.0,208.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,1.0,3.0,7.0,5.0,1.0,8.0,6.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,11.0,3.0,3.0,13.0,8.0,2.0,11.0,11.0,4.0,16.0
5,1.0,5.0,London_16,baseline0,151,453,1092.0,70.0,2.0,154473.0,0.7828828459605575,794.0,164.0,0.0,164.0,286.0,0.0,286.0,52.0,57.0,169.0,37.0,126.0,5.0,52.0,3.0,4.0,19.0,73.0,153.0,208.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,5.0,22.0,6.0,19.0,0.0,3.0,0.0,1.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,31.0,19.0,3.0,12.0,29.0,21.0,28.0,28.0,23.0,24.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,42.0,27.0,5.0,15.0,37.0,31.0,38.0,40.0,34.0,31.0,49.0
6,1.0,6.0,London_16,baseline0,151,453,1092.0,70.0,2.0,103737.0,0.6750915860757232,682.0,26.0,2.0,24.0,60.0,18.0,42.0,201.0,67.0,164.0,31.0,128.0,8.0,47.0,3.0,5.0,13.0,79.0,155.0,206.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,8.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,6.0,0.0,0.0,10.0,0.0,0.0,0.0,5.0,13.0,7.0,2.0,7.0,6.0,8.0,6.0,7.0,6.0,6.0,11.0
7,1.0,7.0,London_16,baseline0,151,453,1092.0,70.0,2.0,127293.0,0.24912631046026945,734.0,94.0,1.0,93.0,159.0,11.0,148.0,60.0,63.0,158.0,33.0,127.0,9.0,53.0,4.0,6.0,6.0,81.0,149.0,217.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,12.0,19.0,3.0,13.0,26.0,14.0,19.0,22.0,15.0,18.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,7.0,9.0,0.0,6.0,0.0,0.0,0.0,11.0,15.0,22.0,4.0,13.0,34.0,23.0,28.0,32.0,22.0,26.0,33.0
8,1.0,8.0,London_16,baseline0,151,453,1092.0,70.0,2.0,119139.0,0.20353956706821918,716.0,6.0,0.0,6.0,8.0,0.0,8.0,145.0,60.0,166.0,26.0,131.0,11.0,50.0,4.0,5.0,5.0,83.0,145.0,220.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,2.0,1.0,4.0,2.0,3.0,1.0,3.0,2.0
9,1.0,9.0,London_16,baseline0,151,453,1092.0,70.0,2.0,150396.0,0.4696464240550995,785.0,12.0,2.0,10.0,35.0,18.0,17.0,8.0,60.0,167.0,26.0,130.0,11.0,50.0,4.0,5.0,5.0,84.0,146.0,218.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,9.0,4.0,7.0,7.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,2.0,2.0,0.0,4.0,2.0,4.0,4.0
