,logged,day,location,model name,avg daily demand,inventory size,test days,init days,gurobi status,nvars,calc time,ncons,num patients,num SCD patients,num Other patients,num units requested,num units requested SCD,num units requested Other,num supplied products,num O- in inventory,num O+ in inventory,num A- in inventory,num A+ in inventory,num B- in inventory,num B+ in inventory,num AB- in inventory,num AB+ in inventory,num Fya-Fyb- in inventory,num Fya+Fyb- in inventory,num Fya-Fyb+ in inventory,num Fya+Fyb+ in inventory,num R0 in inventory,num outdates,num outdates O-,num outdates O+,num outdates A-,num outdates A+,num outdates B-,num outdates B+,num outdates AB-,num outdates AB+,num shortages,num shortages O-,num shortages O+,num shortages A-,num shortages A+,num shortages B-,num shortages B+,num shortages AB-,num shortages AB+,num shortages SCD,num shortages Other,num mismatched patients SCD A,num mismatched patients SCD B,num mismatched patients SCD D,num mismatched patients SCD C,num mismatched patients SCD c,num mismatched patients SCD E,num mismatched patients SCD e,num mismatched patients SCD K,num mismatched patients SCD Fya,num mismatched patients SCD Fyb,num mismatched patients SCD Jka,num mismatched patients SCD Jkb,num mismatched patients SCD M,num mismatched patients SCD N,num mismatched patients SCD S,num mismatched patients Other A,num mismatched patients Other B,num mismatched patients Other D,num mismatched patients Other C,num mismatched patients Other c,num mismatched patients Other E,num mismatched patients Other e,num mismatched patients Other K,num mismatched patients Other Fya,num mismatched patients Other Fyb,num mismatched patients Other Jka,num mismatched patients Other Jkb,num mismatched patients Other M,num mismatched patients Other N,num mismatched patients Other S,num mismatched units SCD A,num mismatched units SCD B,num mismatched units SCD D,num mismatched units SCD C,num mismatched units SCD c,num mismatched units SCD E,num mismatched units SCD e,num mismatched units SCD K,num mismatched units SCD Fya,num mismatched units SCD Fyb,num mismatched units SCD Jka,num mismatched units SCD Jkb,num mismatched units SCD M,num mismatched units SCD N,num mismatched units SCD S,num mismatched units Other A,num mismatched units Other B,num mismatched units Other D,num mismatched units Other C,num mismatched units Other c,num mismatched units Other E,num mismatched units Other e,num mismatched units Other K,num mismatched units Other Fya,num mismatched units Other Fyb,num mismatched units Other Jka,num mismatched units Other Jkb,num mismatched units Other M,num mismatched units Other N,num mismatched units Other S
0,1.0,0.0,London_29,final_ta,151,453,1092.0,70.0,2.0,140883.0,0.28891450027003884,779.0,47.0,0.0,47.0,86.0,0.0,86.0,453.0,68.0,157.0,33.0,138.0,10.0,35.0,2.0,10.0,8.0,80.0,167.0,198.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,5.0,13.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,6.0,21.0,12.0,9.0
1,1.0,1.0,London_29,final_ta,151,453,1092.0,70.0,2.0,170781.0,0.3879527719691396,845.0,105.0,1.0,104.0,182.0,10.0,172.0,86.0,68.0,149.0,27.0,152.0,10.0,35.0,3.0,9.0,7.0,87.0,151.0,208.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,5.0,1.0,8.0,22.0,20.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,10.0,1.0,10.0,27.0,28.0,16.0
2,1.0,2.0,London_29,final_ta,151,453,1092.0,70.0,2.0,165798.0,0.3544614319689572,834.0,29.0,2.0,27.0,61.0,16.0,45.0,182.0,79.0,145.0,24.0,152.0,6.0,30.0,4.0,13.0,6.0,75.0,152.0,220.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,7.0,7.0,6.0
3,1.0,3.0,London_29,final_ta,151,453,1092.0,70.0,2.0,203850.0,0.512935406062752,918.0,112.0,2.0,110.0,209.0,18.0,191.0,61.0,76.0,139.0,21.0,164.0,9.0,26.0,5.0,13.0,7.0,74.0,144.0,228.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,3.0,6.0,1.0,10.0,23.0,18.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,4.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,3.0,9.0,2.0,16.0,35.0,28.0,22.0
4,1.0,4.0,London_29,final_ta,151,453,1092.0,70.0,2.0,192978.0,0.4868618631735444,894.0,92.0,2.0,90.0,162.0,18.0,144.0,209.0,81.0,142.0,27.0,151.0,11.0,34.0,2.0,5.0,5.0,66.0,146.0,236.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,12.0,5.0,5.0,6.0,21.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,5.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,16.0,8.0,8.0,7.0,33.0,17.0,12.0
5,1.0,5.0,London_29,final_ta,151,453,1092.0,70.0,2.0,191619.0,0.5139628681354225,891.0,93.0,0.0,93.0,148.0,0.0,148.0,162.0,81.0,133.0,27.0,164.0,13.0,28.0,2.0,5.0,7.0,62.0,134.0,250.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,3.0,2.0,14.0,23.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,6.0,3.0,3.0,22.0,31.0,11.0
6,1.0,6.0,London_29,final_ta,151,453,1092.0,70.0,2.0,183465.0,0.5523572438396513,873.0,121.0,0.0,121.0,213.0,0.0,213.0,148.0,82.0,131.0,23.0,154.0,14.0,39.0,2.0,8.0,8.0,55.0,136.0,254.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,1.0,0.0,6.0,7.0,4.0,2.0,22.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,1.0,0.0,9.0,9.0,5.0,3.0,35.0,48.0,24.0
7,1.0,7.0,London_29,final_ta,151,453,1092.0,70.0,2.0,170328.0,0.48198294098256156,844.0,143.0,2.0,141.0,271.0,19.0,252.0,213.0,88.0,161.0,14.0,123.0,8.0,51.0,0.0,8.0,12.0,66.0,131.0,244.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,7.0,4.0,10.0,3.0,30.0,30.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,7.0,8.0,14.0,3.0,43.0,55.0,29.0
8,1.0,8.0,London_29,final_ta,151,453,1092.0,70.0,2.0,133182.0,0.4137904020026326,762.0,178.0,0.0,178.0,328.0,0.0,328.0,271.0,74.0,162.0,19.0,117.0,11.0,58.0,1.0,11.0,10.0,67.0,132.0,244.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,5.0,0.0,6.0,13.0,18.0,15.0,31.0,34.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,6.0,0.0,6.0,19.0,28.0,21.0,48.0,52.0,34.0
9,1.0,9.0,London_29,final_ta,151,453,1092.0,70.0,2.0,74745.0,0.1519706500112079,633.0,2.0,2.0,0.0,18.0,18.0,0.0,328.0,87.0,153.0,21.0,107.0,18.0,54.0,2.0,11.0,11.0,57.0,138.0,247.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1.0,10.0,London_29,final_ta,151,453,1092.0,70.0,2.0,101472.0,0.25597644300432876,692.0,65.0,2.0,63.0,134.0,19.0,115.0,18.0,81.0,157.0,19.0,110.0,18.0,55.0,2.0,11.0,9.0,62.0,129.0,253.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,5.0,4.0,3.0,14.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,10.0,4.0,7.0,22.0,23.0,12.0
