,logged,day,location,model name,avg daily demand,inventory size,test days,init days,gurobi status,nvars,calc time,ncons,num patients,num SCD patients,num Other patients,num units requested,num units requested SCD,num units requested Other,num supplied products,num O- in inventory,num O+ in inventory,num A- in inventory,num A+ in inventory,num B- in inventory,num B+ in inventory,num AB- in inventory,num AB+ in inventory,num Fya-Fyb- in inventory,num Fya+Fyb- in inventory,num Fya-Fyb+ in inventory,num Fya+Fyb+ in inventory,num R0 in inventory,num outdates,num outdates O-,num outdates O+,num outdates A-,num outdates A+,num outdates B-,num outdates B+,num outdates AB-,num outdates AB+,num shortages,num shortages O-,num shortages O+,num shortages A-,num shortages A+,num shortages B-,num shortages B+,num shortages AB-,num shortages AB+,num shortages SCD,num shortages Other,num mismatched patients SCD A,num mismatched patients SCD B,num mismatched patients SCD D,num mismatched patients SCD C,num mismatched patients SCD c,num mismatched patients SCD E,num mismatched patients SCD e,num mismatched patients SCD K,num mismatched patients SCD k,num mismatched patients SCD Fya,num mismatched patients SCD Fyb,num mismatched patients SCD Jka,num mismatched patients SCD Jkb,num mismatched patients SCD M,num mismatched patients SCD N,num mismatched patients SCD S,num mismatched patients SCD s,num mismatched patients Other A,num mismatched patients Other B,num mismatched patients Other D,num mismatched patients Other C,num mismatched patients Other c,num mismatched patients Other E,num mismatched patients Other e,num mismatched patients Other K,num mismatched patients Other k,num mismatched patients Other Fya,num mismatched patients Other Fyb,num mismatched patients Other Jka,num mismatched patients Other Jkb,num mismatched patients Other M,num mismatched patients Other N,num mismatched patients Other S,num mismatched patients Other s,num mismatched units SCD A,num mismatched units SCD B,num mismatched units SCD D,num mismatched units SCD C,num mismatched units SCD c,num mismatched units SCD E,num mismatched units SCD e,num mismatched units SCD K,num mismatched units SCD k,num mismatched units SCD Fya,num mismatched units SCD Fyb,num mismatched units SCD Jka,num mismatched units SCD Jkb,num mismatched units SCD M,num mismatched units SCD N,num mismatched units SCD S,num mismatched units SCD s,num mismatched units Other A,num mismatched units Other B,num mismatched units Other D,num mismatched units Other C,num mismatched units Other c,num mismatched units Other E,num mismatched units Other e,num mismatched units Other K,num mismatched units Other k,num mismatched units Other Fya,num mismatched units Other Fyb,num mismatched units Other Jka,num mismatched units Other Jkb,num mismatched units Other M,num mismatched units Other N,num mismatched units Other S,num mismatched units Other s
0,1.0,0.0,London_22,FIFO,151,453,1092.0,70.0,2.0,142695.0,0.41986972326412797,768.0,35.0,0.0,35.0,66.0,0.0,66.0,453.0,54.0,191.0,25.0,114.0,19.0,43.0,1.0,6.0,7.0,67.0,158.0,221.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,3.0,11.0,13.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,6.0,3.0,17.0,18.0,10.0,6.0
1,1.0,1.0,London_22,FIFO,151,453,1092.0,70.0,2.0,167610.0,0.5568326856009662,823.0,80.0,2.0,78.0,138.0,17.0,121.0,66.0,53.0,195.0,28.0,112.0,18.0,43.0,0.0,4.0,7.0,67.0,159.0,220.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,9.0,1.0,4.0,18.0,21.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,6.0,12.0,1.0,5.0,25.0,30.0,21.0,13.0
2,1.0,2.0,London_22,FIFO,151,453,1092.0,70.0,2.0,166704.0,0.6235628565773368,821.0,99.0,2.0,97.0,178.0,16.0,162.0,138.0,68.0,216.0,29.0,90.0,13.0,37.0,0.0,0.0,9.0,74.0,149.0,221.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,13.0,4.0,7.0,7.0,24.0,16.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,19.0,5.0,11.0,9.0,36.0,24.0,16.0,13.0
3,1.0,3.0,London_22,FIFO,151,453,1092.0,70.0,2.0,173499.0,0.6472657560370862,836.0,68.0,0.0,68.0,120.0,0.0,120.0,178.0,92.0,215.0,33.0,74.0,10.0,25.0,0.0,4.0,10.0,74.0,166.0,203.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,4.0,6.0,1.0,9.0,12.0,15.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,4.0,9.0,1.0,16.0,18.0,23.0,13.0,5.0
4,1.0,4.0,London_22,FIFO,151,453,1092.0,70.0,2.0,180747.0,0.7563192709349096,852.0,90.0,0.0,90.0,156.0,0.0,156.0,120.0,100.0,195.0,34.0,81.0,11.0,25.0,1.0,6.0,12.0,68.0,161.0,212.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,3.0,0.0,0.0,0.0,7.0,3.0,3.0,12.0,15.0,15.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,4.0,0.0,0.0,0.0,8.0,4.0,5.0,14.0,21.0,25.0,12.0,3.0
5,1.0,5.0,London_22,FIFO,151,453,1092.0,70.0,2.0,190260.0,0.8376288022845984,873.0,120.0,2.0,118.0,209.0,15.0,194.0,156.0,120.0,191.0,37.0,67.0,15.0,17.0,2.0,4.0,11.0,71.0,183.0,188.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,16.0,9.0,2.0,6.0,1.0,5.0,3.0,6.0,8.0,15.0,33.0,24.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,22.0,14.0,3.0,7.0,3.0,7.0,3.0,6.0,11.0,23.0,54.0,34.0,11.0
6,1.0,6.0,London_22,FIFO,151,453,1092.0,70.0,2.0,174405.0,0.7368272691965103,838.0,111.0,1.0,110.0,189.0,9.0,180.0,209.0,128.0,210.0,19.0,71.0,5.0,9.0,2.0,9.0,16.0,67.0,174.0,196.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,12.0,8.0,11.0,26.0,30.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,9.0,20.0,9.0,15.0,36.0,39.0,16.0,10.0
7,1.0,7.0,London_22,FIFO,151,453,1092.0,70.0,2.0,161721.0,0.7441996382549405,810.0,75.0,1.0,74.0,139.0,10.0,129.0,189.0,143.0,187.0,20.0,71.0,5.0,14.0,4.0,9.0,14.0,72.0,150.0,217.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,2.0,1.0,6.0,4.0,5.0,5.0,14.0,17.0,18.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,2.0,1.0,11.0,5.0,7.0,12.0,20.0,23.0,26.0,13.0
8,1.0,8.0,London_22,FIFO,151,453,1092.0,70.0,2.0,159909.0,0.8344503110274673,806.0,141.0,2.0,139.0,275.0,17.0,258.0,139.0,151.0,194.0,23.0,60.0,1.0,15.0,5.0,4.0,16.0,88.0,148.0,201.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,5.0,1.0,9.0,9.0,25.0,41.0,18.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,6.0,1.0,12.0,11.0,41.0,68.0,22.0,22.0
9,1.0,9.0,London_22,FIFO,151,453,1092.0,70.0,2.0,140430.0,0.6521591627970338,763.0,98.0,0.0,98.0,171.0,0.0,171.0,275.0,167.0,148.0,24.0,72.0,12.0,19.0,2.0,9.0,12.0,64.0,171.0,206.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,8.0,10.0,13.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,9.0,15.0,20.0,23.0,10.0
