,logged,day,location,model name,avg daily demand,inventory size,test days,init days,gurobi status,nvars,calc time,ncons,num patients,num SCD patients,num Other patients,num units requested,num units requested SCD,num units requested Other,num supplied products,num O- in inventory,num O+ in inventory,num A- in inventory,num A+ in inventory,num B- in inventory,num B+ in inventory,num AB- in inventory,num AB+ in inventory,num Fya-Fyb- in inventory,num Fya+Fyb- in inventory,num Fya-Fyb+ in inventory,num Fya+Fyb+ in inventory,num R0 in inventory,num outdates,num outdates O-,num outdates O+,num outdates A-,num outdates A+,num outdates B-,num outdates B+,num outdates AB-,num outdates AB+,num shortages,num shortages O-,num shortages O+,num shortages A-,num shortages A+,num shortages B-,num shortages B+,num shortages AB-,num shortages AB+,num shortages SCD,num shortages Other,num mismatched patients SCD A,num mismatched patients SCD B,num mismatched patients SCD D,num mismatched patients SCD C,num mismatched patients SCD c,num mismatched patients SCD E,num mismatched patients SCD e,num mismatched patients SCD K,num mismatched patients SCD Fya,num mismatched patients SCD Fyb,num mismatched patients SCD Jka,num mismatched patients SCD Jkb,num mismatched patients SCD M,num mismatched patients SCD N,num mismatched patients SCD S,num mismatched patients Other A,num mismatched patients Other B,num mismatched patients Other D,num mismatched patients Other C,num mismatched patients Other c,num mismatched patients Other E,num mismatched patients Other e,num mismatched patients Other K,num mismatched patients Other Fya,num mismatched patients Other Fyb,num mismatched patients Other Jka,num mismatched patients Other Jkb,num mismatched patients Other M,num mismatched patients Other N,num mismatched patients Other S,num mismatched units SCD A,num mismatched units SCD B,num mismatched units SCD D,num mismatched units SCD C,num mismatched units SCD c,num mismatched units SCD E,num mismatched units SCD e,num mismatched units SCD K,num mismatched units SCD Fya,num mismatched units SCD Fyb,num mismatched units SCD Jka,num mismatched units SCD Jkb,num mismatched units SCD M,num mismatched units SCD N,num mismatched units SCD S,num mismatched units Other A,num mismatched units Other B,num mismatched units Other D,num mismatched units Other C,num mismatched units Other c,num mismatched units Other E,num mismatched units Other e,num mismatched units Other K,num mismatched units Other Fya,num mismatched units Other Fyb,num mismatched units Other Jka,num mismatched units Other Jkb,num mismatched units Other M,num mismatched units Other N,num mismatched units Other S
0,1.0,0.0,London_208,new,151,453,1092.0,70.0,2.0,160362.0,0.4113195724785328,807.0,69.0,2.0,67.0,139.0,20.0,119.0,453.0,53.0,176.0,34.0,130.0,9.0,41.0,0.0,10.0,14.0,87.0,137.0,215.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,6.0,1.0,6.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,7.0,2.0,9.0,21.0,19.0,20.0
1,1.0,1.0,London_208,new,151,453,1092.0,70.0,2.0,168969.0,0.5543116750195622,826.0,80.0,0.0,80.0,135.0,0.0,135.0,139.0,56.0,186.0,37.0,105.0,10.0,50.0,1.0,8.0,9.0,77.0,138.0,229.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,7.0,4.0,11.0,20.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,11.0,4.0,16.0,27.0,26.0,14.0
2,1.0,2.0,London_208,new,151,453,1092.0,70.0,2.0,169422.0,0.5268357023596764,827.0,116.0,0.0,116.0,207.0,0.0,207.0,135.0,64.0,173.0,39.0,108.0,14.0,48.0,1.0,6.0,12.0,74.0,139.0,228.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,9.0,4.0,1.0,16.0,24.0,32.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,14.0,6.0,1.0,22.0,35.0,48.0,28.0
3,1.0,3.0,London_208,new,151,453,1092.0,70.0,2.0,150396.0,0.7481153653934598,785.0,128.0,2.0,126.0,236.0,19.0,217.0,207.0,78.0,177.0,33.0,94.0,13.0,52.0,1.0,5.0,10.0,75.0,149.0,219.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,1.0,6.0,10.0,8.0,15.0,17.0,39.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,9.0,5.0,0.0,0.0,0.0,3.0,11.0,0.0,0.0,1.0,8.0,10.0,8.0,19.0,27.0,64.0,37.0
4,1.0,4.0,London_208,new,151,453,1092.0,70.0,2.0,125481.0,0.6320216301828623,730.0,46.0,0.0,46.0,82.0,0.0,82.0,236.0,84.0,192.0,37.0,68.0,4.0,55.0,4.0,9.0,11.0,76.0,133.0,233.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,8.0,8.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,9.0,14.0,20.0,14.0
5,1.0,5.0,London_208,new,151,453,1092.0,70.0,2.0,137259.0,0.6606465820223093,756.0,54.0,0.0,54.0,85.0,0.0,85.0,82.0,89.0,193.0,34.0,62.0,7.0,53.0,5.0,10.0,13.0,81.0,138.0,221.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,4.0,6.0,4.0,7.0,13.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,5.0,8.0,4.0,7.0,18.0,16.0,10.0
6,1.0,6.0,London_208,new,151,453,1092.0,70.0,2.0,150396.0,0.9335302151739597,785.0,93.0,2.0,91.0,177.0,20.0,157.0,85.0,90.0,204.0,34.0,54.0,7.0,55.0,1.0,8.0,14.0,73.0,144.0,222.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,6.0,3.0,8.0,4.0,9.0,12.0,16.0,18.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,7.0,4.0,10.0,5.0,10.0,17.0,22.0,24.0,18.0
7,1.0,7.0,London_208,new,151,453,1092.0,70.0,2.0,142242.0,0.6625014813616872,767.0,48.0,0.0,48.0,80.0,0.0,80.0,177.0,94.0,206.0,31.0,66.0,4.0,50.0,1.0,1.0,12.0,81.0,150.0,210.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,6.0,4.0,2.0,2.0,6.0,18.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,7.0,6.0,3.0,3.0,8.0,29.0,11.0
8,1.0,8.0,London_208,new,151,453,1092.0,70.0,2.0,166251.0,0.8799328748136759,820.0,109.0,2.0,107.0,198.0,19.0,179.0,80.0,98.0,201.0,32.0,57.0,5.0,59.0,0.0,1.0,12.0,84.0,147.0,210.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,3.0,0.0,11.0,6.0,6.0,11.0,19.0,31.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,5.0,0.0,12.0,7.0,7.0,13.0,27.0,45.0,23.0
9,1.0,9.0,London_208,new,151,453,1092.0,70.0,2.0,157644.0,0.7759934235364199,801.0,83.0,2.0,81.0,158.0,18.0,140.0,198.0,116.0,210.0,12.0,52.0,7.0,45.0,1.0,10.0,5.0,79.0,155.0,214.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,5.0,0.0,2.0,2.0,8.0,2.0,5.0,8.0,11.0,17.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,4.0,6.0,0.0,4.0,2.0,11.0,3.0,6.0,14.0,12.0,25.0,18.0
