,logged,day,location,model name,avg daily demand,inventory size,test days,init days,gurobi status,nvars,calc time,ncons,num patients,num SCD patients,num Other patients,num units requested,num units requested SCD,num units requested Other,num supplied products,num O- in inventory,num O+ in inventory,num A- in inventory,num A+ in inventory,num B- in inventory,num B+ in inventory,num AB- in inventory,num AB+ in inventory,num Fya-Fyb- in inventory,num Fya+Fyb- in inventory,num Fya-Fyb+ in inventory,num Fya+Fyb+ in inventory,num R0 in inventory,num outdates,num outdates O-,num outdates O+,num outdates A-,num outdates A+,num outdates B-,num outdates B+,num outdates AB-,num outdates AB+,num shortages,num shortages O-,num shortages O+,num shortages A-,num shortages A+,num shortages B-,num shortages B+,num shortages AB-,num shortages AB+,num shortages SCD,num shortages Other,num mismatched patients SCD A,num mismatched patients SCD B,num mismatched patients SCD D,num mismatched patients SCD C,num mismatched patients SCD c,num mismatched patients SCD E,num mismatched patients SCD e,num mismatched patients SCD K,num mismatched patients SCD k,num mismatched patients SCD Fya,num mismatched patients SCD Fyb,num mismatched patients SCD Jka,num mismatched patients SCD Jkb,num mismatched patients SCD M,num mismatched patients SCD N,num mismatched patients SCD S,num mismatched patients SCD s,num mismatched patients Other A,num mismatched patients Other B,num mismatched patients Other D,num mismatched patients Other C,num mismatched patients Other c,num mismatched patients Other E,num mismatched patients Other e,num mismatched patients Other K,num mismatched patients Other k,num mismatched patients Other Fya,num mismatched patients Other Fyb,num mismatched patients Other Jka,num mismatched patients Other Jkb,num mismatched patients Other M,num mismatched patients Other N,num mismatched patients Other S,num mismatched patients Other s,num mismatched units SCD A,num mismatched units SCD B,num mismatched units SCD D,num mismatched units SCD C,num mismatched units SCD c,num mismatched units SCD E,num mismatched units SCD e,num mismatched units SCD K,num mismatched units SCD k,num mismatched units SCD Fya,num mismatched units SCD Fyb,num mismatched units SCD Jka,num mismatched units SCD Jkb,num mismatched units SCD M,num mismatched units SCD N,num mismatched units SCD S,num mismatched units SCD s,num mismatched units Other A,num mismatched units Other B,num mismatched units Other D,num mismatched units Other C,num mismatched units Other c,num mismatched units Other E,num mismatched units Other e,num mismatched units Other K,num mismatched units Other k,num mismatched units Other Fya,num mismatched units Other Fyb,num mismatched units Other Jka,num mismatched units Other Jkb,num mismatched units Other M,num mismatched units Other N,num mismatched units Other S,num mismatched units Other s
0,1.0,0.0,London_151,,151,453,1092.0,70.0,2.0,159003.0,0.44095949176698923,804.0,141.0,1.0,140.0,233.0,8.0,225.0,453.0,56.0,170.0,42.0,127.0,9.0,35.0,1.0,13.0,11.0,81.0,154.0,207.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,0.0,9.0,10.0,6.0,10.0,27.0,37.0,24.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,2.0,2.0,0.0,11.0,13.0,8.0,13.0,44.0,49.0,32.0,19.0
1,1.0,1.0,London_151,,151,453,1092.0,70.0,2.0,131370.0,0.523358432110399,743.0,44.0,2.0,42.0,92.0,19.0,73.0,233.0,70.0,184.0,46.0,107.0,5.0,31.0,2.0,8.0,15.0,77.0,148.0,213.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,5.0,7.0,10.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,9.0,4.0,1.0,6.0,12.0,12.0,12.0,6.0
2,1.0,2.0,London_151,,151,453,1092.0,70.0,2.0,146319.0,0.5070072538219392,776.0,125.0,0.0,125.0,216.0,0.0,216.0,92.0,66.0,197.0,43.0,110.0,1.0,28.0,3.0,5.0,9.0,90.0,147.0,207.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,3.0,0.0,0.0,0.0,14.0,9.0,13.0,15.0,22.0,32.0,25.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,3.0,0.0,0.0,0.0,16.0,12.0,21.0,19.0,32.0,50.0,33.0,12.0
3,1.0,3.0,London_151,,151,453,1092.0,70.0,2.0,123669.0,0.536580613348633,726.0,71.0,2.0,69.0,139.0,19.0,120.0,216.0,87.0,183.0,44.0,101.0,6.0,25.0,1.0,6.0,12.0,80.0,148.0,213.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,0.0,0.0,0.0,8.0,3.0,3.0,8.0,14.0,12.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,5.0,5.0,0.0,0.0,0.0,12.0,6.0,5.0,9.0,22.0,19.0,12.0,11.0
4,1.0,4.0,London_151,,151,453,1092.0,70.0,2.0,117327.0,0.5940071777440608,712.0,29.0,0.0,29.0,47.0,0.0,47.0,139.0,107.0,195.0,27.0,94.0,3.0,25.0,0.0,2.0,14.0,91.0,146.0,202.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,3.0,11.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,4.0,17.0,8.0,3.0
5,1.0,5.0,London_151,,151,453,1092.0,70.0,2.0,144960.0,0.5885442169383168,773.0,20.0,1.0,19.0,40.0,9.0,31.0,47.0,109.0,201.0,22.0,87.0,1.0,31.0,0.0,2.0,14.0,96.0,147.0,196.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,3.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,4.0,9.0,1.0,2.0
6,1.0,6.0,London_151,,151,453,1092.0,70.0,2.0,175311.0,0.8440036391839385,840.0,170.0,1.0,169.0,296.0,8.0,288.0,40.0,110.0,205.0,22.0,84.0,2.0,30.0,0.0,0.0,11.0,98.0,146.0,198.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,12.0,3.0,4.0,7.0,30.0,43.0,34.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,18.0,4.0,4.0,9.0,38.0,67.0,45.0,21.0
7,1.0,7.0,London_151,,151,453,1092.0,70.0,2.0,138165.0,0.5130029157735407,758.0,25.0,0.0,25.0,39.0,0.0,39.0,296.0,121.0,197.0,18.0,83.0,9.0,20.0,0.0,5.0,5.0,98.0,128.0,222.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,2.0,2.0,2.0,5.0,7.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0,2.0,3.0,3.0,8.0,12.0,5.0,5.0
8,1.0,8.0,London_151,,151,453,1092.0,70.0,2.0,165798.0,0.6541755176149309,819.0,67.0,2.0,65.0,128.0,19.0,109.0,39.0,122.0,206.0,18.0,77.0,8.0,19.0,0.0,3.0,5.0,98.0,132.0,218.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,7.0,4.0,8.0,5.0,12.0,19.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,6.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,9.0,4.0,12.0,7.0,19.0,23.0,13.0,6.0
9,1.0,9.0,London_151,,151,453,1092.0,70.0,2.0,174405.0,0.7471368261612952,838.0,130.0,1.0,129.0,230.0,10.0,220.0,128.0,119.0,215.0,26.0,73.0,2.0,16.0,0.0,2.0,10.0,104.0,131.0,208.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,9.0,0.0,18.0,0.0,6.0,3.0,4.0,4.0,26.0,28.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,11.0,0.0,18.0,0.0,8.0,3.0,5.0,7.0,38.0,38.0,19.0,23.0
